"","ScanID","Genotype","Subdirectory","RegType","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t","OrganName","GenotypeRegtype"
"85","Scan_0093","WT/WT","WT","M",4,22371.8533749754,8301.9453125,32952.23828125,11547817.5770813,3180,0.686879992485046,71142493.7324219,6.04052483958119,-4.65631832306339,-8.82430422829681,NA,"kidney (right)","WT-M"
"86","Scan_0093","WT/WT","WT","M",5,17405.1675968954,2004.24377441406,32626.888671875,55071995.9974465,7592,1.63987195491791,132140032.39563,3.98599230284937,-5.5457078393368,-8.56341910592351,NA,"stomach","WT-M"
"87","Scan_0093","WT/WT","WT","M",6,31355.7223979214,7307.607421875,43893.08984375,9920872.3349299,93695,20.2381191253662,2937874410.07324,5.33201020508333,-6.53216602541405,-8.02652755327705,NA,"liver","WT-M"
"88","Scan_0093","WT/WT","WT","M",7,28690.3064885569,12393.193359375,36856.46875,14416638.2786965,411,0.0887759998440742,11791715.9667969,4.58721344996543,-5.27397718547903,-9.40456906785061,NA,"adrenal (left)","WT-M"
"89","Scan_0093","WT/WT","WT","M",8,29445.3765802994,11369.724609375,38513.40234375,18090681.7582503,406,0.0876960009336472,11954822.8916016,5.91791065610689,-5.28079355310335,-9.47414873057395,NA,"adrenal (right)","WT-M"
"90","Scan_0093","WT/WT","WT","M",9,21061.4711421875,11032.220703125,31985.255859375,13513356.7947411,625,0.135000005364418,13163419.4638672,5.20938431127929,-3.92580013438416,-6.68433245471192,NA,"rectum","WT-M"
"91","Scan_0093","WT/WT","WT","M",10,19606.8072435765,6301.568359375,29091.072265625,23006194.0689406,1963,0.424008011817932,38488162.6191406,5.34327682681674,-5.06756505746108,-6.6683469142127,NA,"bladder","WT-M"
"92","Scan_0093","WT/WT","WT","M",11,18775.2724254396,2325.32666015625,32550.513671875,41547901.2908851,8260,1.78416001796722,155083750.234131,5.2389175025626,-8.59611041041325,-7.70676098739954,NA,"heart","WT-M"
"93","Scan_0093","WT/WT","WT","M",12,24648.1651608609,15470.91015625,27894.01171875,3108002.67893083,449,0.0969839990139008,11067026.1572266,5.02376734914121,-9.96435450409461,-8.46762695805264,NA,"thymus (left)","WT-M"
"94","Scan_0093","WT/WT","WT","M",13,24943.8567283741,16962.658203125,28360.08203125,2707549.01753564,414,0.0894239991903305,10326756.6855469,5.5726582822938,-10.0178214677175,-8.38722219384237,NA,"thymus (right)","WT-M"
"95","Scan_0093","WT/WT","WT","M",14,19458.9204578067,2104.73291015625,36394.7734375,17680743.7908416,135165,29.1956405639648,2630164983.67944,5.05609270945851,-13.2582628541704,-6.11838173314605,NA,"brain","WT-M"
"96","Scan_0093","WT/WT","WT","M",15,18330.2322833372,8592.1884765625,36512.85546875,5667921.89347183,36775,7.94339990615845,674094292.219727,5.26317896525607,-8.54034510243344,-9.76976775586405,NA,"spinal cord","WT-M"
"98","Scan_0095","WT/WT","WT","M",1,27702.1186014148,8362.2841796875,40418.53515625,16431222.4633257,6136,1.32537603378296,169980199.738281,4.24951621740707,-7.80151551378447,-9.44970958117896,NA,"lung (left)","WT-M"
"99","Scan_0095","WT/WT","WT","M",2,25232.272755292,2295.30932617188,39614.76953125,29958476.1958053,13531,2.92269611358643,341417882.651855,6.02881093872734,-7.97101241196899,-9.20755951908282,NA,"lung (right)","WT-M"
"100","Scan_0095","WT/WT","WT","M",3,22249.7416867749,9491.7353515625,35905.38671875,16261676.2288164,2629,0.567864000797272,58494570.8945312,4.81124390199819,-4.81432457409505,-8.70997013900256,NA,"kidney (left)","WT-M"
"101","Scan_0095","WT/WT","WT","M",4,22829.9461398518,9832.5419921875,33663.90234375,13908066.2180881,2991,0.646055996417999,68284368.9042969,6.10150903745783,-4.84071682044231,-8.70203445671795,NA,"kidney (right)","WT-M"
"102","Scan_0095","WT/WT","WT","M",5,16976.7583959153,1760.16259765625,34715.21875,68572728.3749454,7976,1.722815990448,135406624.96582,4.18788817487007,-5.52457840519667,-8.59413826815195,NA,"stomach","WT-M"
"103","Scan_0095","WT/WT","WT","M",6,33268.2425207155,1058.10388183594,64264.53125,34652242.9974844,86989,18.789623260498,2893971148.63452,5.33899622340585,-6.5502964549763,-8.06373520623184,NA,"liver","WT-M"
"104","Scan_0095","WT/WT","WT","M",7,30893.4122680664,8347.140625,42176.95703125,24880888.7064227,400,0.0864000022411346,12357364.9072266,4.78795031127929,-5.29468813438414,-9.39515045471192,NA,"adrenal (left)","WT-M"
